name;time;threads;USE_LOCAL_MEM;TBX;TBY;
medfilt;468.20;1;0;1;1;
medfilt;426.20;4;0;1;4;
medfilt;465.20;8;0;1;8;
medfilt;476.37;16;0;1;16;
medfilt;468.85;32;0;1;32;
medfilt;448.72;4;0;4;1;
medfilt;467.42;16;0;4;4;
medfilt;468.11;32;0;4;8;
medfilt;463.63;64;0;4;16;
medfilt;466.15;128;0;4;32;
medfilt;467.31;8;0;8;1;
medfilt;429.11;32;0;8;4;
medfilt;462.46;64;0;8;8;
medfilt;466.90;128;0;8;16;
medfilt;461.31;256;0;8;32;
medfilt;462.28;16;0;16;1;
medfilt;463.42;64;0;16;4;
medfilt;463.23;128;0;16;8;
medfilt;461.25;256;0;16;16;
medfilt;469.48;512;0;16;32;
medfilt;470.48;32;0;32;1;
medfilt;462.19;128;0;32;4;
medfilt;465.79;256;0;32;8;
medfilt;432.37;512;0;32;16;
medfilt;462.09;1024;0;32;32;
medfilt;479.31;1;1;1;1;
medfilt;468.86;4;1;1;4;
medfilt;433.00;8;1;1;8;
medfilt;463.34;16;1;1;16;
medfilt;441.19;32;1;1;32;
medfilt;477.34;4;1;4;1;
medfilt;421.70;16;1;4;4;
medfilt;449.57;32;1;4;8;
medfilt;468.29;64;1;4;16;
medfilt;430.59;128;1;4;32;
medfilt;454.57;8;1;8;1;
medfilt;426.33;32;1;8;4;
medfilt;469.24;64;1;8;8;
medfilt;443.17;128;1;8;16;
medfilt;446.40;256;1;8;32;
medfilt;438.91;16;1;16;1;
medfilt;463.73;64;1;16;4;
medfilt;487.95;128;1;16;8;
medfilt;449.68;256;1;16;16;
medfilt;454.81;512;1;16;32;
medfilt;437.48;32;1;32;1;
medfilt;464.21;128;1;32;4;
medfilt;505.41;256;1;32;8;
medfilt;448.80;512;1;32;16;
medfilt;562.50;1024;1;32;32;
